Gene	WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
TRNP	0	0	0	0	0	0
TRNT	0	0	0	0	0	0
CYTB	0	0	0	0	0	0
TRNE	0	0	0	0	0	0
ND6	0	0	0	0	0	0
ND5	0	0	0	0	0	0
TRNL2	0	0	0	0	0	0
TRNS2	0	0	0	0	0	0
TRNH	0	0	0	0	0	0
ND4	0	0	0	0	0	0
ND4L	0	0	0	0	0	0
TRNR	0	0	0	0	0	0
ND3	0	0	0	0	0	0
TRNG	0	0	0	0	0	0
COX3	0	0	0	0	0	0
ATP6	0	0	0	0	0	0
ATP8	0	0	0	0	0	0
TRNK	0	0	0	0	0	0
COX2	0	0	0	0	0	0
TRND	0	0	0	0	0	0
TRNS1	0	0	0	0	0	0
COX1	0	0	0	0	0	0
TRNY	0	0	0	0	0	0
TRNC	0	0	0	0	0	0
TRNN	0	0	0	0	0	0
TRNA	0	0	0	0	0	0
TRNW	0	0	0	0	0	0
ND2	0	0	0	0	0	0
TRNM	0	0	0	0	0	0
TRNQ	0	0	0	0	0	0
TRNI	0	0	0	0	0	0
ND1	0	0	0	0	0	0
TRNL1	0	0	0	0	0	0
RNR2	0	0	0	0	0	0
TRNV	0	0	0	0	0	0
RNR1	0	0	0	0	0	0
TRNF	0	0	0	0	0	0
LILRP2	0	0	0	0	0	0
KIR3DL3	0	0	0	0	0	0
KIR2DS2	0	0	0	0	0	0
KIR2DL2	0	0	0	0	0	0
KIR3DP1	0	0	0	0	0	0
KIR2DL4	0	0	0	0	0	0
KIR3DS1	0	0	0	0	0	0
KIR2DL5A	0	0	0	0	0	0
KIR2DS5	0	0	0	0	0	0
KIR2DS1	0	0	0	0	0	0
KIR3DL2	0	0	0	0	0	0
KIR2DL3	0	0	0	0	0	0
KIR2DP1	0	0	0	0	0	0
LOC101928804	0	0	0	0	0	0
KIR2DL1	0	0	0	0	0	0
KIR3DL1	0	0	0	0	0	0
KIR2DS4	0	0	0	0	0	0
RNU6-222P	0	0	0	0	0	0
KIR2DL5B	0	0	0	0	0	0
NCR1	33	40	27	82	119	43
FCAR	1	0	7	1	1	1
LOC102725023	0	0	0	0	0	0
KIR2DS3	0	0	0	0	0	0
EPS8L1	331	281	422	424	397	411
RDH13	438	445	412	674	619	407
GP6	5	7	10	5	9	5
GP6-AS1	112	152	88	135	111	46
RPL36AP50	1	0	0	2	0	1
NLRP2	4036	3081	4548	6146	6576	5321
NLRP7	198	121	135	813	1193	1384
LILRP1	0	0	1	0	0	0
LILRB4	0	0	0	0	0	0
VN1R105P	0	0	0	0	0	0
MIR8061	0	0	0	0	0	0
LILRB1	0	0	0	1	0	0
LILRA1	0	0	0	0	0	1
LILRA2	0	0	0	0	0	0
LOC107985347	0	0	0	0	0	0
LOC105372461	0	0	0	0	0	0
KIR3DX1	0	0	0	0	0	0
LOC105372460	0	0	0	0	0	0
LAIR2	0	0	0	1	0	0
CDC42EP5	22	19	37	87	154	158
LENG9	91	81	95	94	92	93
LENG8	3470	3221	3467	4330	2862	1984
LENG8-AS1	56	81	56	54	36	23
TTYH1	1622	1035	1097	475	222	279
LAIR1	2	10	7	3	4	9
LILRA4	2	4	0	2	1	1
VN1R104P	0	0	0	0	0	0
LILRA5	0	0	0	0	0	0
LILRA3	0	0	0	0	0	0
MIR4752	0	0	0	0	0	0
LILRB2	0	0	0	2	1	5
LOC100420187	0	0	0	0	0	0
RNU6-1307P	0	0	0	0	0	0
LILRB5	2	2	0	3	3	4
LOC107987463	0	0	0	1	0	0
LILRA6	3	2	1	5	3	2
LOC100421130	3	1	1	5	3	1
LOC107985279	0	1	0	1	0	0
LOC107987462	0	0	0	0	0	0
LOC124905654	0	0	0	0	0	0
RPS9	26856	24753	31275	26240	26943	21967
TSEN34	952	837	1044	931	1024	787
MBOAT7	2274	1711	2097	2745	2465	1766
TMC4	28	20	58	58	62	61
LENG1	133	122	156	220	222	235
LOC102724273	8	2	8	11	8	5
CNOT3	2321	1894	2185	3789	3358	2306
PRPF31-AS1	8	10	14	9	10	5
PRPF31	1697	1474	1825	2282	2445	1916
LOC124905653	0	0	0	0	0	0
TFPT	391	352	474	576	583	468
NDUFA3	1245	1027	1345	1117	1045	919
OSCAR	41	48	60	41	22	26
TARM1	0	0	0	1	0	0
VSTM1	1	2	3	19	6	16
LOC107987461	0	0	0	0	0	0
LOC124905651	0	0	0	0	0	0
LOC124905652	0	0	0	0	0	0
HCG23	38	29	49	27	15	11
BTNL2	11	2	9	16	4	2
TSBP1-AS1	38	27	33	19	16	13
HLA-DRA	7	5	9	4	5	4
LOC102724290	0	0	0	0	0	0
LOC102725035	0	0	0	0	0	0
LOC124905402	0	0	0	0	0	0
ZBTB9	1035	575	908	1290	1016	736
MIR5004	0	1	0	0	0	0
SYNGAP1-AS1	3	4	7	5	3	6
SYNGAP1	2909	1618	2013	3664	2162	880
CUTA	4410	3129	4757	3467	3230	2896
PHF1	1392	1275	1808	1468	1294	1091
RPL12P1	58	54	54	50	41	40
KIFC1	4027	4018	4325	3689	3261	2536
RPL35AP4	0	0	0	0	0	0
SMIM40	0	0	0	0	0	0
RPS18	48443	48257	64292	48394	50835	41358
VPS52	1308	1260	1395	1666	1690	911
HCG25	3	0	2	3	2	2
ZNF70P1	0	0	0	0	0	0
COL11A2	51	41	51	59	28	39
HLA-DPA3	0	0	0	0	0	0
HLA-DPB2	11	8	9	206	243	93
COL11A2P1	0	0	0	0	0	0
HLA-DPA2	1	0	0	0	0	1
RPL32P1	2	0	0	0	0	0
HLA-DPB1	220	145	260	433	396	356
HLA-DPA1	49	30	60	56	65	61
HLA-DOA	759	604	909	225	140	256
BRD2	7994	5731	7000	9381	8373	5112
HLA-DMA	109	116	163	92	92	122
HLA-DMB	8	8	18	6	6	9
HLA-Z	2	0	0	2	2	1
LOC100294145	649	582	638	699	570	319
PPP1R2P1	0	0	0	0	0	0
PSMB9	19	5	9	3	2	6
TAP1	310	177	293	201	232	217
PSMB8-AS1	10	4	12	3	2	4
PSMB8	175	81	180	96	85	116
TAP2	483	277	439	489	422	375
HLA-DOB	5	0	1	1	4	1
HLA-DQB2	1	1	0	2	3	5
MIR3135B	0	0	0	0	0	0
HLA-DQA2	2	2	0	10	4	6
LOC102725019	0	0	0	0	0	0
HLA-DQB1	246	391	362	4302	4871	4333
HLA-DQA1	26	14	24	87	68	78
HLA-DRB1	356	441	462	594	834	694
FAM8A5P	0	0	0	0	0	0
HLA-DRB7	0	0	0	0	0	0
LOC100294316	0	0	0	0	0	0
PRKRAP1	0	0	0	0	0	0
HLA-DRB8	0	0	0	0	0	0
HLA-DRB4	0	0	0	0	0	0
HLA-DRB9	0	0	0	0	0	1
RNU6-603P	0	0	0	0	0	0
HNRNPA1P2	438	485	853	550	396	402
TSBP1	0	0	0	2	0	0
NOTCH4	58	28	40	122	77	43
GPSM3	149	168	230	329	379	296
PBX2	6055	4993	6979	5083	4123	2796
AGER	110	106	135	166	114	93
MIR6833	0	0	0	1	0	0
RNF5	2552	2283	3383	1658	1617	1273
MIR6721	0	0	0	0	0	0
AGPAT1	3358	2661	3816	3427	2861	2581
EGFL8	1	1	0	0	0	1
PPT2-EGFL8	9	5	18	12	7	8
PPT2	539	489	642	671	718	515
LOC100507547	7	20	20	6	3	5
PRRT1	70	68	68	32	29	23
TNXB	197	128	140	119	112	85
CYP21A2	1	2	4	3	3	1
C4B	72	60	72	93	61	27
STK19B	86	72	117	115	142	99
TNXA	34	30	50	27	22	33
CYP21A1P	3	6	4	10	5	3
C4B_2	0	0	0	0	0	0
STK19	364	326	331	388	408	275
DXO	429	388	405	501	478	306
SKIV2L	1878	1433	1678	2050	1748	1242
MIR1236	0	0	0	0	0	0
NELFE	2239	2112	2682	2439	2495	2071
CFB	9	12	6	12	23	8
C2-AS1	0	0	0	0	0	0
C2	16	21	27	19	11	11
EHMT2	4166	3044	2965	3897	3363	2140
EHMT2-AS1	5	3	10	7	3	3
SLC44A4	17	13	24	8	14	22
NEU1	1461	1296	1995	2415	2602	2155
VARS1	5530	3905	4987	8138	7263	5455
VWA7	8	6	19	31	23	9
SAPCD1-AS1	0	0	0	0	0	1
SAPCD1	0	0	0	0	0	0
RNU6-850P	12	18	9	12	2	0
MSH5	1	3	2	2	0	0
MSH5-SAPCD1	0	0	0	0	0	1
CLIC1	7071	6084	7897	13914	13702	9269
DDAH2	2551	2184	2552	1343	1324	1013
MPIG6B	4	2	10	4	5	6
LY6G6C	3	0	2	2	3	2
LY6G6D	0	0	0	0	0	0
LY6G6E	0	1	0	4	1	1
LY6G6F	0	0	0	0	0	0
LY6G6F-LY6G6D	0	0	0	0	0	0
MIR4646	0	0	0	0	0	0
LOC105375018	4	7	11	9	5	5
ABHD16A	1092	762	994	1249	1186	816
LOC105375019	3	3	1	5	5	1
