WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
NCR1	0.130206094416745	0.646933309838415	-0.145448920455549	1.20456635046948	1.89086186545888	1.02769952298697
FCAR	-4.35092059531987	-5.69291669304621	-2.01991803837169	-4.57679336305518	-4.42504244180071	-3.8302814721406
EPS8L1	3.43698196407156	3.44407441903402	3.79599889718934	3.5678648797767	3.62480610764985	4.26950464755987
RDH13	3.84054993640371	4.10636492847571	3.76144167515297	4.23591876917193	4.26495552961873	4.25541227625668
GP6	-2.47645147740373	-1.78602609743769	-1.53449121120145	-2.70232424513904	-1.76207742907829	-1.95581235422446
GP6-AS1	1.87789809517601	2.55974873940404	1.54079691610279	1.92039317757753	1.79089495739843	1.12391483824627
NLRP2	7.04300608032055	6.8965003827224	7.22436650382836	7.42379355165976	7.67309933095579	7.96237327510902
NLRP7	2.69711210110193	2.23189581055957	2.15534040737366	4.50624267189619	5.21097790855991	6.01990536550517
CDC42EP5	-0.444029999711353	-0.407514474183962	0.302010056515672	1.28945524805599	2.2614580853825	2.89309505727765
LENG9	1.57981674224301	1.65581146118487	1.65062019405554	1.40048656044473	1.52137651799444	2.13165048702588
LENG8	6.82504471757882	6.96060018637522	6.83287153323076	6.9185620291808	6.4730550353498	6.53931587413807
LENG8-AS1	0.88429586637416	1.65581146118487	0.893370328434979	0.606428461000588	0.179819616358146	0.139344878815877
TTYH1	5.72811966684547	5.3231951451743	5.17319659044251	3.73154566708423	2.78765658333189	3.71146049998143
LAIR1	-3.61395500115367	-1.30059927026745	-2.01991803837169	-3.35440094171873	-2.84007994107956	-1.16731645941817
LILRB2	-5.93588309604103	-5.69291669304621	-5.92680863398021	-3.83982776888898	-4.42504244180071	-1.95581235422446
RPS9	9.77710058523373	9.9024282147519	10.0059366944449	9.51775172584526	9.70764470819396	10.0078391006261
TSEN34	4.95969218633966	5.01702868718629	5.1017881430869	4.7016560951653	4.99069932648938	5.20589214041288
MBOAT7	6.21545062325063	6.04812888396363	6.10764646134698	6.26109733216793	6.25765959497925	6.37143406102889
TMC4	-0.102993081876286	-0.335364688428126	0.943556085603195	0.708608855807066	0.955779342140216	1.52727053247748
LENG1	2.12481283564653	2.24372124595636	2.36321021295241	2.62287898178118	2.78765658333189	3.46433927675102
LOC102724273	-1.84842025479069	-3.37098859815885	-1.83934579272987	-1.63819390771933	-1.92254210127153	-1.95581235422446
CNOT3	6.24495846952563	6.1946847314625	6.16693902880546	6.72603592756525	6.70359637105188	6.7562456042039
PRPF31-AS1	-1.84842025479069	-1.30059927026745	-1.06882763885264	-1.91382835033275	-1.61768751974311	-1.95581235422446
PRPF31	5.79331276309107	5.83309341401553	5.90726731945468	5.99464328109525	6.24590880681592	6.48901430993876
TFPT	3.67698540125001	3.76856275423995	3.9634556430409	4.00942093387543	4.17858390318548	4.45666126479743
NDUFA3	5.34662621019981	5.31200598552283	5.46711804166021	4.96430325229434	5.01997240406771	5.42946179155018
OSCAR	0.439156335305897	0.906996149140918	0.992054603294386	0.213283567570587	-0.518151846192196	0.312676481701439
VSTM1	-4.35092059531987	-3.37098859815885	-3.1194537119226	-0.87635364491409	-2.30956522438078	-0.370849853503307
HCG23	0.330903444653874	0.189726356315631	0.702547986099401	-0.380396150251678	-1.055808632135	-0.891682016804747
BTNL2	-1.41232113998401	-3.37098859815885	-1.67888112053662	-1.11736174441788	-2.84007994107956	-3.0933158779744
TSBP1-AS1	0.330903444653874	0.0884430204784493	0.139280556477564	-0.87635364491409	-0.965610823163418	-0.660356470698292
HLA-DRA	-2.02899250043251	-2.23348507440891	-1.67888112053662	-2.99183086233403	-2.55057332388457	-2.24531897141945
ZBTB9	5.08022874217948	4.47575542508602	4.90053407025391	5.17195856231763	4.97938955732286	5.10929774217409
SYNGAP1-AS1	-3.12852817398342	-2.5229916916039	-2.01991803837169	-2.70232424513904	-3.20265002046427	-1.71480425472067
SYNGAP1	6.5706724347103	5.96752495716296	6.04868112296554	6.67764478521207	6.06847947488958	5.36693522096945
CUTA	7.17084340599814	6.91879976789767	7.28917930718118	6.59792430343463	6.64753681718151	7.08485097681005
PHF1	5.50757851618637	5.62393049055626	5.89376924867557	5.35837168654851	5.32817430737824	5.67685244212903
RPL12P1	0.934481623542377	1.07526763173072	0.841375690796717	0.496455618975457	0.365034488825054	0.924606030022864
KIFC1	7.0397857775529	7.27952467351732	7.15184255934506	6.68745373679293	6.66131497066143	6.89337947226938
RPS18	10.6281323857461	10.8655488645719	11.0455541962812	10.4007996113391	10.6235437644786	10.9206522692795
VPS52	5.41781511300701	5.60686370981233	5.51975777508586	5.54084973833391	5.71322935837151	5.41685487317737
COL11A2	0.75061743114219	0.682122738300714	0.759691893203009	0.733061899531605	-0.177114928357129	0.888536775315343
HLA-DPB2	-1.41232113998401	-1.60545385179587	-1.67888112053662	2.52824210764311	2.91777301956047	2.13165048702588
HLA-DPB1	2.84875174951649	2.49195864986207	3.0983309282983	3.5981323194455	3.62117211318211	4.06251429358213
HLA-DPA1	0.693473524038582	0.237820644516676	0.992054603294386	0.65842309863885	1.02341805901558	1.52727053247748
HLA-DOA	4.63302305846106	4.54668183620291	4.90212119367128	2.65522775947904	2.12442137769906	3.58757104274529
BRD2	8.02890899467469	7.79178035003246	7.84643361870509	8.03384703334374	8.02161011631389	7.90456924985471
HLA-DMA	1.83890396356015	2.17126945160807	2.42633819151787	1.36962559673997	1.52137651799444	2.52139396614081
HLA-DMB	-1.84842025479069	-1.60545385179587	-0.717355268351259	-2.46131614563525	-2.30956522438078	-1.16731645941817
LOC100294145	4.40730261940685	4.49319754649543	4.39173417572252	4.28842438338842	4.14607813376681	3.90442814808523
PSMB9	-0.650480877178779	-2.23348507440891	-1.67888112053662	-3.35440094171873	-3.68807684763451	-1.71480425472067
TAP1	3.34256636217945	2.77875852134583	3.27040805912984	2.49288016475163	2.85108196347352	3.34962761787433
PSMB8-AS1	-1.54356567326227	-2.5229916916039	-1.28295244420548	-3.35440094171873	-3.68807684763451	-2.24531897141945
PSMB8	2.51944412426353	1.65581146118487	2.56904639290696	1.43070117349174	1.40784757236403	2.44894217179252
TAP2	3.98148898343581	3.42342726819126	3.85291072116319	3.77340918582736	3.71280258864768	4.13742512465251
HLA-DQB2	-4.35092059531987	-4.10795419232505	-5.92680863398021	-3.83982776888898	-3.20265002046427	-1.95581235422446
HLA-DQA2	-3.61395500115367	-3.37098859815885	-5.92680863398021	-1.76943844099758	-2.84007994107956	-1.71480425472067
HLA-DQB1	3.00956074033688	3.91995180424483	3.57502855092209	6.90920361315123	7.24014540795057	7.66607301642401
HLA-DQA1	-0.207962641477829	-0.834935697918638	-0.312098789865001	1.28945524805599	1.08802714043866	1.87937677602987
HLA-DRB1	3.54187517040286	4.09335293460226	3.92650092142347	4.05377713596932	4.69476329684073	5.02458691111963
HNRNPA1P2	3.84054993640371	4.23041079237298	4.81043870904753	3.94284288978803	3.62117211318211	4.23760100014022
NOTCH4	0.934481623542377	0.139973321118532	0.413041368904416	1.77488207522623	1.26611946275237	1.02769952298697
GPSM3	2.28811857815708	2.70368808813565	2.92181430644913	3.20237879123171	3.5579511328936	3.79664432168424
PBX2	7.62814727616064	7.59291896281521	7.84209933849819	7.14985055842881	6.99964874971224	7.03416264212382
AGER	1.8520194633504	2.04179292717963	2.15534040737366	2.21762250329492	1.82919884557507	2.13165048702588
RNF5	6.38181214972414	6.46411438133214	6.79749203922936	5.53390743301168	5.649545054358	5.89933927141243
AGPAT1	6.77771821753273	6.68510715787928	6.97122584201128	6.58118508689025	6.4725509490271	6.9187499098996
PPT2-EGFL8	-1.68795558259744	-2.23348507440891	-0.717355268351259	-1.51789967400161	-2.10311434691335	-1.32778113161142
PPT2	4.13959605344699	4.24224835655748	4.40074401010103	4.2294877256511	4.47883940393547	4.59458464450635
LOC100507547	-2.02899250043251	-0.335364688428126	-0.569256629362125	-2.46131614563525	-3.20265002046427	-1.95581235422446
PRRT1	1.20366825635777	1.40511538991432	1.17122344898032	-0.139388050747884	-0.12736189316003	0.139344878815877
TNXB	2.68982574702344	2.31270785614767	2.20761768624072	1.73911094420441	1.80377624869517	2.00260854202414
C4B	1.24402599397391	1.22594654422838	1.25310045603473	1.3851385961113	0.932509562817369	0.366115740662899
STK19B	1.4987451315957	1.48699239696872	1.94970831258479	1.68999317763972	2.14481316653023	2.22138064768189
TNXA	0.172641360737141	0.237820644516676	0.731402848771586	-0.380396150251678	-0.518151846192196	0.650845217596012
CYP21A1P	-3.12852817398342	-1.99247697490512	-2.7568836325379	-1.76943844099758	-2.55057332388457	-2.60788905080416
STK19	3.57389190828591	3.65802248850022	3.44605642613238	3.44001492463137	3.66418732562381	3.6906645357094
DXO	3.81063122509744	3.9088540953615	3.73674947023706	3.80835002683584	3.89237017196415	3.84449929082902
SKIV2L	5.93948230460074	5.79240949619431	5.78614818771734	5.84000416455088	5.76189713817585	5.86378616358789
NELFE	6.19307785481467	6.3518189330107	6.46255382166368	6.09061390414969	6.27510824597962	6.60121613211745
CFB	-1.68795558259744	-1.04906050327149	-2.22636891583912	-1.51789967400161	-0.455416090844234	-1.32778113161142
C2	-0.891488976682574	-0.266651938344112	-0.145448920455549	-0.87635364491409	-1.48644298646486	-0.891682016804747
EHMT2	7.08873716871881	6.87907290455837	6.60725102247016	6.76657744380881	6.70574260030948	6.64848814733516
EHMT2-AS1	-2.47645147740373	-2.88556177098861	-1.53449121120145	-2.25486526816782	-3.20265002046427	-2.60788905080416
SLC44A4	-0.806600079096061	-0.938029190882742	-0.312098789865001	-2.074293022526	-1.1520239473943	0.0766091234679143
NEU1	5.57735101776503	5.64748979780708	6.03572592953106	6.07635027365574	6.33567750566491	6.65856287431673
VARS1	7.49731110577395	7.23837485223495	7.35729249201686	7.8287913379847	7.81644423690179	7.99825173831501
VWA7	-1.84842025479069	-1.99247697490512	-0.641406415117961	-0.184475940276422	-0.455416090844234	-1.16731645941817
RNU6-850P	-1.2920269062663	-0.48346332741726	-1.67888112053662	-1.51789967400161	-3.68807684763451	-5.41524397286176
