Gene	GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
7SK	2.651472557	2.533403905	2.322773921	2.267795526	2.838875058	2.223558654	2.598106903	2.520894432	0.745374497	1.618012167	-0.616792891	-1.322920485	0.885781931	-0.489479745	0.155330491	0.28142468
A1BG-AS1	1.630613952	2.235322552	0.895092212	1.345416423	1.115810281	1.286022741	1.5776428	1.373464069	2.053923562	1.97102794	0.56763168	0.262042016	0.489853255	-3.659404746	-1.770668928	-0.154674435
A1CF	0.15356679	0.909447273	0.811434283	-0.159375729	-0.319126776	0.357576002	-0.278621722	0.023879631	-2.107068315	-1.580767697	-4.07622451	-4.130275407	-3.758074259	-3.659404746	-4.092597023	-4.242137276
A2ML1	7.390421356	7.313714004	6.893503866	7.042946681	7.320180432	7.281047266	7.375396952	7.422002675	5.99854924	6.167425153	2.227556238	3.009275946	3.207710026	2.940508096	3.202023726	3.729406278
A4GALT	1.573470045	1.614440477	1.82216069	2.065799133	1.914670409	2.11762521	1.521608765	1.000420658	1.641869921	1.854618448	2.638021008	2.637908918	2.4317503	2.362963067	2.56561446	2.769089979
AAAS	1.172932115	1.195356145	1.284503904	1.501535625	0.135439088	0.829644447	0.148799501	0.198966338	0.277595535	0.687721139	0.171703004	0.624612095	0.765487697	0.588522767	-0.922672021	0.615843719
AACS	8.116072044	8.160881045	7.613974761	7.624993842	7.618383278	7.625872744	7.984768908	7.973376911	6.387898353	6.66067384	5.086166819	5.115277299	4.577316096	4.379514243	5.467735812	5.648127001
AADAC	-1.885961574	-2.110452285	1.284503904	2.444952096	-3.489051777	-2.274692213	0.289662037	0.684393165	-1.189530475	-1.580767697	1.705135204	1.752367643	-0.950719337	-0.852049824	-0.633165404	-1.072212275
AADACL2	-5.055886575	-5.280377286	-3.669692407	-1.909397476	-5.074014278	-4.596620308	-5.136602718	-4.930316679	-3.692030816	-5.040199315	-1.268869588	0.823920904	-0.588149257	-0.199973128	0.155330491	-0.33524668
AADACL2-AS1	-1.14899598	-0.888059864	-1.795223289	-1.461938499	-1.614582659	-1.426695306	-1.677171099	-0.842853838	-5.276993316	-2.718271221	-2.491262009	-1.322920485	-3.758074259	-2.074442246	-2.507634522	-4.242137276
AADACL3	-5.055886575	-5.280377286	-5.254654907	-5.368829095	-5.074014278	-4.596620308	-3.551640217	-4.930316679	-1.189530475	-5.040199315	1.756665504	2.439580202	1.914351083	1.955305098	3.256131132	3.15874216
AADACP1	-1.885961574	-5.280377286	0.895092212	-0.845267139	-3.489051777	-4.596620308	-2.814674623	-1.760391678	-5.276993316	-0.792271802	-1.754296415	-1.322920485	-0.588149257	-2.074442246	-1.770668928	0.150180147
AAGAB	0.616538767	-0.235983167	-0.045201542	1.106904336	0.653906177	-0.204302885	0.840677206	0.495948075	0.008408903	0.574510529	-1.754296415	0.513580783	-0.29864264	1.550048619	0.155330491	0.615843719
AAK1	1.247894173	1.059472717	1.539760959	1.289382388	1.368929218	1.075805034	1.306340778	0.797603775	1.617824447	1.779979647	1.946143303	1.800461931	2.074815755	2.223238303	2.593903505	1.372572568
AAMDC	1.738529291	1.817654797	0.935169652	1.138965545	-0.826086764	-0.89618059	0.220949287	-0.406754723	3.013025531	2.931344239	2.979057926	3.145848998	2.4317503	3.438627337	3.202023726	2.676725961
