   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
7SK	104	112	95	99	120	56	106	87	32	50	5	3	12	4	9	11
A1BG-AS1	51	91	35	52	36	29	52	39	80	64	12	10	9	0	2	8
A1CF	18	36	33	18	13	15	14	15	4	5	0	0	0	0	0	0
A2ML1	2790	3091	2269	2724	2691	1881	2920	2614	1239	1182	39	70	62	48	78	125
A4GALT	49	59	67	86	63	52	50	30	60	59	52	54	36	32	50	64
AAAS	37	44	46	58	18	21	19	17	23	26	9	13	11	9	4	14
AACS	4614	5561	3739	4078	3309	2389	4455	3831	1623	1664	286	303	161	131	377	474
AADAC	4	4	46	112	1	2	21	24	8	5	27	29	3	3	5	4
AADACL2	0	0	1	5	0	0	0	0	1	0	3	15	4	5	9	7
AADACL2-AS1	7	10	5	7	5	4	5	8	0	2	1	3	0	1	1	0
AADACL3	0	0	0	0	0	0	1	0	8	0	28	47	25	24	81	84
AADACP1	4	0	35	11	1	0	2	4	0	9	2	3	4	1	2	10
AAGAB	25	16	18	44	26	10	31	21	19	24	2	12	5	18	9	14
AAK1	39	40	55	50	43	25	43	26	59	56	32	30	28	29	51	24
AAMDC	55	68	36	45	9	6	20	11	156	125	66	77	36	68	78	60
AAMP	5	6	1	3	3	1	4	1	42	24	44	28	35	33	29	51
AANAT	96	106	44	84	78	67	93	66	9	19	0	0	2	1	1	0
AAR2	2101	2332	1527	1596	1767	1168	2059	1616	2434	2054	1163	1117	619	534	1156	1270
AARD	21	20	5	16	22	14	26	24	10	6	7	4	4	6	6	1
AARS	35	57	44	57	39	36	36	26	29	14	15	24	21	21	26	21
AARS2	1	0	2	0	2	1	1	0	3	5	8	8	12	11	5	7
AASDHPPT	1552	1510	2199	2621	1765	982	853	713	203	166	630	671	429	452	876	838
AATF	1543	1936	1581	1391	1425	970	1703	1387	2175	1769	1816	1811	1178	1020	1883	2080
AB015752.3	113	82	48	21	54	46	49	59	32	26	5	7	4	0	0	1
AB019441.29	3	3	11	6	8	1	12	11	24	14	47	49	54	35	51	88
ABAT	2297	2708	1994	2142	2048	1339	2814	2349	1388	1162	82	105	49	51	20	69
ABCA1	30	36	12	13	33	25	36	21	26	16	2	2	4	15	2	0
ABCA10	0	2	1	0	2	0	12	10	25	9	0	0	0	1	0	2
ABCA12	12	10	15	24	11	8	4	8	21	16	1	3	0	0	0	1
ABCA13	1	1	6	10	1	0	12	1	105	96	109	130	43	75	123	151
ABCA17P	92	104	44	63	62	52	84	79	277	214	33	38	13	13	1	22
ABCA2	24	40	35	59	39	24	45	26	34	37	0	4	1	0	1	3
ABCA3	36	74	70	49	51	34	61	43	36	62	1	5	0	0	1	3
ABCA4	15	13	13	7	9	8	14	4	5	1	0	0	0	2	4	1
ABCA5	15	16	15	8	20	6	29	15	19	5	5	4	0	1	1	0
ABCA7	128	160	106	98	66	53	91	66	241	163	124	134	213	269	158	160
ABCA9-AS1	33	43	50	18	22	22	33	25	5	15	2	3	0	0	1	1
ABCB10	2	1	3	2	1	2	5	0	0	5	1	3	12	4	9	10
ABCB4	139	152	134	148	68	67	59	62	15	17	0	0	0	0	0	0
ABCB5	0	1	5	0	0	0	2	0	39	10	8	9	26	15	1	2
ABCB7	9	10	37	18	8	11	8	11	8	9	4	7	5	2	8	4
ABCB8	759	1019	690	760	485	377	588	459	352	423	1405	1425	1211	1219	1517	1285
ABCB9	16	27	28	37	23	22	31	32	42	53	0	2	4	0	0	2
ABCC1	11183	13577	13024	14347	12031	8124	12843	10875	6990	6786	351	451	222	287	284	454
ABCC10	769	960	655	664	792	538	869	714	293	274	224	237	353	323	272	236
ABCC13	0	0	7	1	0	0	0	0	6	2	25	29	18	18	23	30
ABCC2	53	51	32	38	22	16	29	19	39	31	179	187	246	270	131	125
ABCC3	1412	1803	1655	1763	1078	843	1701	1515	668	757	41	38	4	1	5	16
ABCC4	40	48	66	90	75	32	92	93	103	56	23	27	10	7	10	30
ABCC5	16	21	16	29	17	16	38	19	30	23	20	14	22	22	21	19
ABCC5-AS1	1	0	0	0	0	0	0	0	10	3	3	4	4	2	1	3
ABCC6	93	127	90	69	81	41	97	68	41	47	1	1	0	0	2	2
ABCC6P1	3206	3830	2498	2729	3490	2212	5589	4535	3566	3176	31	31	9	8	16	114
ABCD1	970	1386	782	986	712	546	692	609	425	379	159	163	103	103	117	91
ABCD3	3246	3202	3104	3480	3205	1879	3390	2877	1551	1022	1010	1055	615	513	1098	1159
ABCD4	57	71	84	106	90	49	93	74	26	42	4	5	5	5	2	5
ABCE1	5039	4792	7050	6712	6000	3301	5176	4258	2755	2147	3609	3703	2191	2115	3746	4038
ABCF1	1901	2269	1854	2118	2010	1384	2643	1895	13502	11676	3156	3376	2574	2383	3563	4046
ABCF2	106	120	126	130	41	43	62	42	146	127	41	38	39	12	33	30
ABCF2P1	1	1	1	1	2	2	5	3	13	7	4	2	1	1	4	2
ABCF3	1904	2255	1551	1834	1755	1175	1481	1199	1398	1188	766	916	777	553	826	818
ABCG1	3	6	1	8	3	1	19	17	26	16	5	1	0	0	0	1
ABCG2	0	2	2	5	1	0	5	0	1	0	23	18	25	20	38	55
ABCG4	1432	1814	1206	1402	1280	918	1794	1599	546	546	4	18	7	15	7	23
ABCG8	845	1070	356	460	814	672	1019	876	707	655	13	30	8	10	3	23
ABHD1	450	545	221	306	362	231	319	246	78	47	20	11	20	2	16	10
ABHD10	282	341	301	257	239	126	219	161	95	96	284	281	122	116	305	322
ABHD11	6	3	16	0	2	2	4	1	3	7	4	3	3	4	5	2
ABHD11-AS1	3	3	4	0	1	1	1	1	7	1	2	3	3	7	6	18
ABHD12	32	39	14	31	15	9	8	11	12	21	22	17	19	20	20	30
ABHD12B	964	1114	527	607	359	277	544	470	175	138	285	279	252	227	259	268
ABHD13	130	133	127	168	92	58	170	91	702	501	366	406	206	212	366	326
