Gene	GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
HERV-Fc1_LTR1	-0.741082726	-0.955595107	-2.473659142	-2.655420742	-2.315713374	-1.819891262	-2.44803356	-2.222750079	2.82192446	3.497263147	4.050357605	3.32098798	3.366799548	4.603998283	2.859975979	3.149019324
MER9a2	3.823701893	3.649266951	3.755159549	3.9444921	3.51717664	3.671961834	5.546319877	3.885774378	10.65692214	10.5849617	7.119705651	7.083488666	7.70758667	7.984538538	6.646572341	7.863987816
SVA_D	7.865013988	8.122110768	7.996999732	7.888577708	7.483568247	7.673964187	9.399415344	7.128189102	14.26930516	14.34698099	13.23290244	13.16401169	13.34023258	13.5547142	12.60492191	12.81014108
SVA_E	4.116898269	4.94325817	4.581623294	4.190069309	4.554651345	4.369933296	5.965594369	3.65989297	10.83128656	10.78287086	9.514748647	9.508929125	9.760020632	9.930318147	8.736083593	8.989880049
(GTCTG)n	-0.741082726	-2.540557607	1.774268372	2.554032624	-0.730750873	-1.819891262	-0.126105465	-2.222750079	4.316689152	4.380449482	4.620673329	5.371614053	5.385658575	5.689389775	4.507674235	5.204872559
SVA_C	3.78247923	3.935175824	5.314243418	5.40527519	4.342498109	4.921575724	5.887356795	4.252983352	10.44131079	10.47225126	9.705535939	9.696027412	10.18966384	10.38663698	9.187902815	9.42759105
HSATII	4.013804776	3.868833329	9.018694803	8.674935975	4.695513881	4.555148169	5.716873367	3.391959765	10.34951994	9.856768699	10.91398075	10.87008503	7.362046018	8.383437391	6.632565483	8.117837669
SVA_B	5.622322005	5.812589218	5.797803886	6.205666164	5.620924565	5.597961252	6.461859524	5.384580235	10.84546882	10.97353681	9.814123258	9.79517677	10.48355389	10.57343745	9.425776223	9.752059962
(TCCGG)n	-0.004117132	-0.218629513	0.69626586	-2.655420742	-2.315713374	-1.819891262	-2.44803356	-2.222750079	2.169847763	2.760297553	3.093426327	4.138123923	3.206334876	3.638763702	3.997479503	3.655979313
SAR	-0.741082726	-0.955595107	0.69626586	-1.070458241	-0.730750873	-1.819891262	1.799893953	-0.637787578	5.838226272	5.68489015	5.575819094	4.057953574	1.44080013	-0.753553721	1.760440306	3.759072806
HERVKC4-int	-0.004117132	2.103298582	0.33369578	0.804010877	0.854211627	0.98746366	1.458857036	-0.637787578	5.498629529	5.038833052	5.155710605	4.543380402	6.195687632	6.630150571	5.256866132	4.923459624
L1P4b	2.959356992	3.39017973	1.433231454	2.388973378	2.076604049	2.57242616	1.944283863	0.947174922	6.121826249	6.033316047	5.072052676	4.214072776	5.913287901	4.375729296	4.507674235	4.878371734
ALR/Alpha	6.565738476	5.821386166	10.51093733	10.13186968	6.731410538	6.506538225	7.334964649	5.725617152	11.63191177	10.73354315	12.079603	11.88450206	9.30746088	9.576242617	8.517234874	9.90179608
HERV1_LTRd	-2.326045227	-0.218629513	-2.473659142	-2.655420742	-2.315713374	-1.819891262	-2.44803356	-0.637787578	2.42138653	3.214863416	4.291365704	4.138123923	5.049609372	5.079336293	3.811066379	4.258643815
(CGGTG)n	-0.741082726	-2.540557607	-2.473659142	-1.070458241	-2.315713374	-1.819891262	-2.44803356	-2.222750079	1.477970059	1.912300646	1.813318407	2.388102176	1.926226957	2.053801201	0.538047884	0.486054311
(TTAG)n	-0.004117132	-2.540557607	0.33369578	-0.333492647	-2.315713374	-1.819891262	-0.126105465	-0.637787578	4.347385949	2.863391046	5.994648172	6.506099385	6.769923726	7.508541124	5.94177007	6.213974766
L1P4c	-0.004117132	-2.540557607	1.433231454	1.045018976	-2.315713374	-1.819891262	-2.44803356	-2.222750079	-0.637507159	2.64926624	2.706403203	1.736025479	3.642433991	3.153336874	1.760440306	2.601531529
(CTTA)n	-0.004117132	-0.955595107	1.918658281	0.15193418	-2.315713374	-0.234928762	-0.863071059	-2.222750079	2.906813358	2.397727473	3.398280908	2.835561153	3.873759537	2.41637128	3.47664734	3.544948
THE1-int	2.317810963	3.131867735	4.184552341	2.629981477	0.006214721	-0.234928762	1.458857036	0.584604843	5.261346118	4.746877037	6.318846441	6.147839078	6.812358992	7.007997511	6.35396482	5.999123894
(TCTTG)n	-2.326045227	0.629367394	-2.473659142	-2.655420742	-0.730750873	-1.819891262	-0.126105465	-2.222750079	2.025457854	3.733330505	3.093426327	2.835561153	3.873759537	5.027805992	3.201012897	3.424653767
LTR21A	2.317810963	1.983004349	-0.888696641	2.298775569	1.384726344	1.880548456	1.799893953	0.584604843	5.354959169	5.205082395	3.960159796	3.882866868	4.073068345	4.290840398	3.811066379	2.601531529
HERVL-int	7.308765823	7.075991236	7.758761785	7.508228934	6.539155009	6.404110412	7.243709959	6.51534218	10.69546178	10.63726918	10.95688384	10.77533624	11.02011607	11.25452469	10.71837148	10.7224672
THE1A-int	7.207284505	6.92908421	6.872854591	6.756090246	5.723205615	5.631319849	6.356097461	5.880537729	9.992759966	9.738001486	9.257445896	9.173034393	9.871252681	9.84170376	9.144144598	9.377838014
HERVFH21-int	1.374394491	0.918874011	2.811743077	3.494326378	1.384726344	1.639540356	2.409947435	2.532137423	5.952456023	6.376097457	5.272750026	5.696854882	5.561815531	5.513232819	5.06160984	4.967181001
(AAATG)n	5.022682927	4.94325817	4.096196467	4.002790741	3.51717664	2.267571579	3.61805563	2.300811877	6.840925422	6.809541072	6.685443585	6.128342902	8.311164849	7.773923285	6.701278233	6.44798627
LTR5B	4.685182029	4.843146685	4.783728701	4.639200007	2.813569643	2.267571579	4.846587189	4.220193417	8.211115782	8.252150649	9.285574066	9.224439492	10.19501956	10.31589605	8.846386915	8.806478816
(GCTG)n	2.066272196	3.074152237	2.570734978	3.0170046	2.076604049	3.389562103	1.458857036	-2.222750079	4.406886961	4.234228741	3.86394448	2.835561153	3.206334876	3.494373792	3.345402806	3.424653767
THE1D-int	6.758763161	6.700233725	6.540361329	6.613705937	5.215668086	5.050473457	6.343129329	5.339492345	9.678019825	9.447835244	8.887077446	8.724710166	9.36323587	9.454680637	8.513418218	8.741869734
HERVK11-int	3.288664617	3.131867735	3.935731794	4.239397021	2.728680745	2.823964927	4.470829677	2.82164404	7.753378309	7.231822243	6.906830293	6.805187504	7.630624688	7.943413805	6.889723323	6.777608757
