    GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
HERV-Fc1_LTR1	1	1	0	0	0	0	0	0	16	22	16	10	9	20	7	9
MER9a2	35	36	37	48	28	22	127	34	3767	3060	138	142	192	213	103	249
SVA_D	584	810	709	746	445	360	1842	326	46077	41521	9587	9643	9550	10143	6435	7691
SVA_E	43	89	66	57	58	36	170	29	4251	3510	728	765	798	822	440	544
(GTCTG)n	1	0	9	18	1	0	2	0	46	41	24	43	38	43	23	39
SVA_C	34	44	110	133	50	53	161	44	3244	2830	831	871	1075	1128	602	737
HSATII	40	42	1440	1287	64	41	143	24	3044	1847	1921	1966	151	281	102	297
SVA_B	123	163	154	232	122	85	240	97	4293	4006	896	933	1318	1284	710	923
(TCCGG)n	2	2	4	0	0	0	0	0	10	13	8	18	8	10	16	13
SAR	1	1	4	1	1	0	9	1	133	102	47	17	2	0	3	14
HERVKC4-int	2	12	3	5	4	3	7	1	105	65	35	24	67	83	39	32
L1P4b	19	30	7	16	10	10	10	4	162	130	33	19	55	17	23	31
ALR/Alpha	237	164	4052	3534	264	160	440	123	7405	3392	4310	3972	583	643	378	1024
HERV1_LTRd	0	2	0	0	0	0	0	1	12	18	19	18	30	28	14	20
(CGGTG)n	1	0	0	1	0	0	0	0	6	7	3	5	3	3	1	1
(TTAG)n	2	0	3	2	0	0	2	1	47	14	63	95	100	153	63	79
L1P4c	2	0	7	6	0	0	0	0	1	12	6	3	11	7	3	6
(CTTA)n	2	1	10	3	0	1	1	0	17	10	10	7	13	4	11	12
THE1-int	12	25	50	19	2	1	7	3	89	53	79	74	103	108	84	68
(TCTTG)n	0	4	0	0	1	0	2	0	9	26	8	7	13	27	9	11
LTR21A	12	11	1	15	6	6	9	3	95	73	15	15	15	16	14	6
HERVL-int	397	392	601	573	231	149	413	213	3869	3173	1979	1841	1912	2059	1740	1809
THE1A-int	370	354	325	340	131	87	223	137	2377	1701	609	606	862	773	584	712
HERVFH21-int	6	5	19	35	6	5	14	13	144	165	38	54	43	38	34	33
(AAATG)n	81	89	47	50	28	8	33	11	267	223	102	73	292	184	107	93
LTR5B	64	83	76	78	17	8	78	43	691	607	621	628	1079	1074	475	479
(GCTG)n	10	24	16	25	10	18	7	0	49	37	14	7	8	9	10	11
THE1D-int	271	302	258	308	92	58	221	94	1911	1391	471	444	606	591	377	458
HERVK11-int	24	25	42	59	16	12	60	16	503	299	119	117	182	207	122	117
(TTCTG)n	3	2	3	0	1	0	0	1	11	9	3	2	5	4	4	8
MER57E3	59	87	56	93	42	36	88	37	700	593	293	290	447	465	286	312
SVA_F	1608	2249	1152	1490	1588	1151	1712	1056	15013	13395	3179	3240	3072	3095	2210	2634
MSTC-int	57	46	34	13	24	18	29	26	288	292	56	57	29	58	32	67
ACRO1	57	71	111	62	41	28	1176	762	10565	8696	5218	5709	4858	4625	5235	5504
THE1B-int	616	665	839	719	133	107	344	217	3208	2329	1712	1796	2338	2041	1567	1769
GSAT	20	8	13	3	7	12	25	11	230	141	7	16	3	3	3	15
(TAATG)n	1	0	1	0	0	0	0	0	7	1	6	5	4	3	1	3
U6	20	15	39	16	7	8	16	12	151	109	147	166	152	199	129	137
Ricksha_a	9	7	21	21	3	10	5	1	39	23	23	17	8	8	21	14
LTR7B	279	362	206	305	200	126	259	187	2128	1806	697	743	748	623	579	629
HY3	5	1	11	5	0	2	2	0	12	13	8	13	27	17	18	14
SATR2	9	7	19	48	1	1	18	8	140	97	41	29	42	38	36	30
LTR38-int	7	6	13	12	5	1	12	4	87	61	8	25	21	24	5	10
HY4	2	0	3	0	1	1	1	1	10	14	16	14	16	26	8	16
L1P2	289	308	593	563	179	67	227	154	1978	1328	875	933	1307	1191	749	915
HSATI	7	6	38	20	14	5	14	5	115	58	17	17	5	5	4	14
L1PA5	2080	2169	3033	3154	708	398	1167	793	9544	6864	5459	5712	7932	7638	5112	5675
(AATTG)n	0	3	0	0	0	0	0	0	2	7	1	0	5	1	0	4
(GGAAA)n	0	2	15	6	4	0	4	0	23	18	9	7	4	7	8	16
AluYd8	7	8	18	15	10	5	6	4	51	36	55	49	61	55	58	63
(CATCG)n	0	0	0	0	0	0	0	0	5	3	0	3	0	2	2	2
(CTCCG)n	0	1	0	0	1	0	0	0	0	7	1	2	2	3	1	2
HERV-Fc2-int	0	0	5	0	0	0	0	0	4	3	6	6	29	5	8	16
L1P3b	8	4	0	0	4	0	1	3	19	20	18	15	3	5	5	10
HERVP71A-int	59	45	102	92	13	12	52	34	353	317	167	173	279	308	170	243
HSAT5	20	24	18	17	3	5	14	8	86	89	34	77	64	68	45	60
HERVL66-int	14	9	14	3	12	6	15	14	127	105	41	41	34	45	23	36
(TTTAA)n	8	3	17	10	0	1	4	3	43	19	24	27	37	27	10	26
(CTATA)n	3	1	6	0	0	0	1	1	7	15	8	4	7	9	3	8
Tigger2b	6	4	13	7	6	1	2	4	31	23	18	14	8	32	13	5
LTR4	9	14	29	20	10	2	25	15	153	149	51	48	56	37	42	35
MER11B	75	76	130	123	37	29	85	78	622	581	313	305	467	382	312	338
LTR35	20	15	15	26	6	4	12	10	79	84	64	47	39	43	37	37
(CAAAG)n	1	0	7	2	0	1	1	0	10	4	1	1	0	1	1	3
(GCTTG)n	4	0	4	5	2	2	0	0	3	3	2	1	2	4	1	1
