Gene 	gene.1	Gene.2	  Oocyte	 Zygote	2cell 	4cell 	8cell 	Morulae	Blastocyst	hESC.p0	hESC.p10
MER11B	LTR	ERVK	8.437645958	24.27285938	21.28195698	9.929040134	46.34363551	50.79293289	25.92837537	27.22958268	29.70363404
MER44B	DNA	TcMar-Tigger	60.19486063	29.40340983	24.34997488	35.96074349	37.29233317	23.50365914	11.65140889	25.97225538	38.18845266
MSTA1	LTR	ERVL-MaLR	10.49543237	8.682990317	8.926166003	4.995329095	8.520107747	6.871269893	5.885183839	12.41110566	10.62705465
MLT1E1-int	LTR	ERVL-MaLR	0.016612968	0	0.081028238	0.10964314	0.870638562	1.822696869	0	0.018303287	0.001574941
MER96B	DNA	hAT-Tip100	25.63081286	26.69015993	20.2548465	32.36894738	17.49548381	16.33434821	9.89635596	13.34975886	18.7625456
MLT1E2-int	LTR	ERVL-MaLR	0.632008324	0.405329744	0.304280095	0.520885484	2.98157671	2.14662509	1.221062368	1.574374243	2.633848219
UCON29	DNA	PiggyBac?	9.62957263	8.619132848	4.196304017	5.147576132	3.878196093	3.755248837	2.721743441	12.31749174	7.170153568
Zaphod2	DNA	hAT-Tip100	5.369080086	5.8001418	4.088084657	5.561296154	3.988890969	2.639605812	0.7980683	5.012032138	11.27924358
MER41E	LTR	ERV1	1.49301496	2.223787933	2.318976428	3.785311467	6.437675969	5.184792191	1.50181884	4.144918512	6.595436172
MER41D	LTR	ERV1	3.031104598	4.990497608	3.140970825	3.013809217	4.292711536	4.017074556	1.681549206	9.707601074	8.176338201
MER41G	LTR	ERV1	1.076767279	2.426172081	2.083061182	2.090461508	2.517466274	2.605684582	1.037007519	8.473661614	3.853423466
MLT2B3	LTR	ERVL	20.9587364	45.21656336	61.42885618	36.75726762	95.59739512	72.25984813	15.96500687	33.97672066	39.78550378
LTR82B	LTR	ERVL	4.975800456	6.437389818	2.943709286	6.235644865	8.865648022	5.848441509	3.316527871	7.06245138	7.833703565
MER41C	LTR	ERV1	10.56253772	9.642356238	7.434941924	10.44497724	19.00310279	14.25933207	5.469819745	12.02163308	17.02467512
LTR82A	LTR	ERVL	8.289919271	11.47095317	5.730342392	13.89794875	10.8946751	7.900030869	4.459238825	23.43346524	14.33286595
L1M4a2	LINE	L1	70.02869295	56.58957141	15.38851516	40.63470895	54.45564761	57.83066811	9.786786926	37.9573248	45.12006137
L1M4a1	LINE	L1	342.3550984	291.0484071	64.69973931	182.17836	75.16161783	85.08178323	13.63861135	30.34967188	37.16670177
LTR39	LTR	ERV1	75.27614604	40.43816158	38.9571727	41.06435183	23.5832795	26.5584287	15.05282853	8.001061621	13.24025774
MER96	DNA	hAT-Tip100	6.766000476	9.908141939	8.357277683	11.05434514	11.33679447	8.665176903	3.644905444	16.32121658	13.30897258
MER20B	DNA	hAT-Charlie	199.4060508	186.626961	312.4277815	160.4028797	93.21994385	54.07003538	29.6600257	60.93921246	64.94033867
MER83B-int	LTR	ERV1	6.704358242	5.108081414	3.650335886	4.167784624	4.880680516	2.148327627	0.503940119	7.842164852	3.08501607
MLT1E3	LTR	ERVL-MaLR	39.70823198	54.00108641	57.60051325	75.75290052	75.8409622	70.11965809	9.06106747	26.45353844	26.0061354
LTR35A	LTR	ERV1	0.743740044	0.944804244	1.221405596	2.333461404	1.267993864	1.520244107	0.005259826	1.197616465	0.961812207
LTR35B	LTR	ERV1	1.640335504	1.307822517	1.578588332	1.197507528	1.19839644	2.639051637	0.27971675	1.092347025	0.274302384
MER95	LTR	ERV1	2.135230221	2.742675295	1.696842182	0.947163538	4.011090107	4.541819727	3.175067566	6.850913933	5.35823991
MER44A	DNA	TcMar-Tigger	80.16526064	63.2835376	43.62127294	67.21907099	40.25710796	48.00037882	33.86180374	45.63382834	55.42360721
MSTB2	LTR	ERVL-MaLR	18.0738399	17.65236823	20.46397932	12.9653756	20.65827746	18.57267982	4.387830371	12.03246733	8.104460501
CER	Satellite	Satellite	1.31827197	8.225092129	3.646952961	18.27273335	7.135653281	7.052923996	0.604797198	4.356876552	0.273253198
Charlie15b	DNA	hAT-Charlie	127.7144828	86.56354633	71.34330088	68.95453946	75.07902436	77.41423187	30.31927799	94.81262191	76.90542204
LTR52-int	LTR	ERVL	0.987053265	0.556596898	0.441153804	1.475740598	0.872308222	1.209720027	0.034827025	1.937213704	4.28985913
Charlie15a	DNA	hAT-Charlie	38.95412524	49.26029204	29.67234773	37.74904083	57.63976997	51.25167869	25.48226312	111.8127271	91.18088683
LTR85c	LTR	Gypsy?	17.3226018	15.0359456	14.2105082	19.20162316	7.285421282	5.884408141	6.646908283	4.461784415	5.753363186
LTR85b	LTR	Gypsy?	9.017141273	6.996354608	5.646141533	11.55914894	6.30155877	3.56416638	1.23845452	4.879292687	4.252733755
LTR85a	LTR	Gypsy?	7.476330735	10.33704046	7.513629312	10.33091619	6.194808234	12.76465467	1.796049652	8.938453571	5.009400718
MER97b	DNA	hAT-Tip100	40.62770475	23.89462666	20.59472771	45.35180794	31.75728342	5.996143689	0.752257847	0.927980966	2.051247322
Tigger12c	DNA	TcMar-Tigger	9.899035574	10.79502501	9.777751635	11.614194	10.73120386	8.690442322	8.145719166	15.45248299	14.6674766
AluYh9	SINE	Alu	79.8554551	64.76000855	83.45787518	42.80900084	81.99084925	92.43783567	67.50706751	70.15442466	83.20460697
