Gene	  Oocyte	 Zygote	2cell 	4cell 	8cell 	Morulae	Trophectoderm	Primitive 	epiblast	hESC p0	hESC passage10
C9orf152	0	0	0.036	0	0.095	0.012	0.129	0	0	0	0
RPS11	1057.517	850.277	1507.581	3971.046	4303.018	2895.275	1384.116	2670.108	1968.631	2070.786	2659.038
ELMO2	9.486	60.506	55.716	66.985	12.81	5.074	2.296	0.225	3.047	3.41	2.937
CREB3L1	1.457	1.323	1.231	2.079	0.675	0.094	0	4.285	1.625	3.318	4.076
PNMA1	1.382	5.421	3.781	3.364	27.055	34.535	12.948	9.106	15.112	18.029	11.297
MMP2	0	0	0	0	0.286	0.064	0.012	0.419	20.926	2.909	5.764
TMEM216	11.753	2.259	3.233	6.653	1.532	0.5	2.106	4.801	0	19.723	7.749
LOC653712	0.335	0.353	0.584	0.693	0.39	0.389	0.148	1.106	1.844	0.184	0.009
C10orf90	1.955	0.9	1.246	1.438	0.161	0.064	0	0.413	0.274	0	0
ZHX3	19.978	33.526	29.647	44.984	4.443	3.424	0.486	0.109	1.133	0.726	0.408
ERCC5	21.522	17.848	10.448	18.728	11.366	6.631	2.759	3.753	1.894	18.375	7.812
GPR98	0.481	0.554	0.365	0.769	0.609	0.197	0	0	0	1.594	1.664
RXFP3	0	0	0	0	0	0.016	0	0	0	0	0
APBB2	6.773	8.088	5.123	9.765	6.109	10.248	1.358	3.21	4.137	3.562	5.025
KLHL13	0	0	0	0.1	0	0	0	0	0	1.339	2.039
PRSSL1	0	0	0	0	0	0.452	0	0	0	0	0
PDCL3	798.195	571.87	722.208	488.545	1380.729	1636.053	1703.997	243.585	588.405	52.063	42.011
AEN	5.262	12.827	10.129	14.765	48.702	58.663	35.598	51.474	38.865	75.373	53.628
FRG2	0.088	0.334	0.148	51.072	34.968	215.322	0.621	0	0	0	0
DECR1	1.054	2.798	1.197	2.451	1.044	0	8.508	7.557	0.303	38.118	39.476
SALL1	0	0	0	0	1.823	1.813	0.051	0.949	3.092	4.99	2.732
GGT3P	0	0.039	0.08	0.678	0.244	0.022	0	0.055	0	0	0.116
CADM4	0	0	0	0	0.029	0.271	0	0	0.858	0.052	0.279
RPS18	902.924	743.775	1109.468	2471.739	3434.471	3281.202	2656.597	5668.809	4362.296	5798.746	5493.949
SLC10A7	0.722	1.226	0.969	0.656	0.567	0.693	1.915	1.468	0.547	0.341	0.175
OR2K2	0	0	0	0	0.558	0	0	0	0	0	0
BRIX1	104.616	132.736	127.649	160.772	328.669	255.813	126.232	97.867	74.829	158.356	91.387
LMAN1	30.807	25.735	25.768	35.38	18.796	26.872	37.691	13.17	34.049	26.253	20.94
CHD8	23.449	19.192	17.778	17.302	12.487	10.232	3.979	2.112	2.862	9.836	11.572
SUMO1	153.079	100.175	90.319	98.397	64.305	97.17	82.631	124.886	70.423	333.093	233.459
GP1BA	0.703	0.574	0.671	1.492	0.324	0	0	0	0	0	0.147
UQCR11	8.051	2.849	2.438	2.541	4.191	16.854	64.043	144.797	81.273	66.335	97.767
DDB1	30.448	28.629	20.865	39.29	21.403	18.492	40.669	59.2	53.769	54.222	53.92
MYO9B	0.373	1.334	1.061	2.124	0.911	0.667	0.522	0.27	4.518	1.267	2.466
CRNKL1	8.013	21.292	19.464	18.704	17.088	12.433	5.483	7.556	8.435	8.684	9.113
C9orf45	0	0	0.018	0.009	0.011	0.074	0.583	1.153	0.075	2.401	1.061
XAB2	0.061	2.105	0.335	3.805	2.418	0.457	0.566	0.171	0.2	3.591	8.118
RTN1	2.028	0.683	0.972	1.058	0.324	0	0	0	0	0.165	1.016
KLHL14	0.101	0.038	0.135	0.307	0.011	0	0.033	0	0	1.015	0.868
ADAM21P1	0	0.102	0.035	0.279	0	0.114	0	0	0	0	0
ZBTB12	0.065	0.115	0.033	0	0.022	0	0	0	0	0	0
UTY	0	0	0	0	0.16	2.645	0.964	0	0.044	2.49	1.41
CENPQ	11.898	43.52	31.974	14.806	15.427	23.626	18.369	3.018	13.489	14.727	9.362
ZAR1L	928.383	493.426	389.694	365.558	36.926	10.963	0.045	4.727	0.037	0	0.357
DTNBP1	37.199	28.888	15.875	42.167	7.774	7.353	4.464	11.002	14.186	6.84	8.44
KBTBD8	0.799	5.178	3.798	3.004	5.581	0.843	0.817	0.546	1.103	2.466	1.554
ZEB1	3.012	3.807	3.29	9.864	1.763	2.945	0	0	0	0	0.04
ZG16	0	0	0	0	0	0.083	0.515	0	0	0	0
FAT4	0	0	0	0	0	0.136	0	0	0	1.29	0.887
MIER1	6.173	10.451	7.098	10.162	9.327	9.427	8.537	0.888	8.144	5.787	7.373
CHD9	1.565	1.27	1.136	1.46	1.562	2.8	1.04	0.225	1.443	0.968	4.67
